Tracking_ID,Warehouse_Zone,Mode_of_Shipment,Customer_Inquiries,Customer_Score,Product_Cost_SAR,Previous_Orders,Product_Priority,Gender,Discount_offered,Product_Weight_g,is_delayed
99C03A69AF85,West_Hub,Standard_Sea,7,5,1095.0,5,low,M,5,1932,1
F74F3CE27D3B,East_Hub,Standard_Sea,3,2,765.0,4,medium,M,7,4768,0
A39FF608D7C5,West_Hub,Premium_Air,6,5,442.5,2,low,F,6,1726,1
69FAA6AA09A3,East_Hub,Standard_Sea,4,3,596.25,5,low,M,4,4666,1
3DF908376904,South_Hub,Standard_Sea,5,5,911.25,2,low,M,9,4669,1
E995BABEE4A6,South_Hub,Standard_Sea,3,1,847.5,3,high,M,2,4831,1
43E8852BEF63,West_Hub,Standard_Sea,3,2,937.5,5,low,F,36,2717,1
4E016E8932EE,South_Hub,Standard_Sea,3,3,667.5,3,high,M,43,1517,1
2A649680041F,Central_Port,Premium_Air,4,3,626.25,3,medium,F,1,4621,1
6ECF763FF6E7,West_Hub,Ground_Freight,3,3,817.5,2,medium,M,9,2069,1
60F256C7CCBC,West_Hub,Standard_Sea,3,1,517.5,5,medium,F,8,1349,1
6B5575EDC320,Central_Port,Standard_Sea,5,3,708.75,5,low,M,7,4869,0
A3513549948F,North_Hub,Premium_Air,3,4,506.25,3,low,M,11,1740,1
8C8699214133,Central_Port,Standard_Sea,3,2,663.75,2,high,M,9,4648,0
728F1A293713,North_Hub,Standard_Sea,4,4,926.25,2,medium,M,9,5095,0
D3D3950D7BC2,West_Hub,Standard_Sea,3,2,918.75,3,medium,F,7,4121,0
1AA219431528,East_Hub,Standard_Sea,5,5,558.75,7,medium,F,50,1346,1
4E49800FBC3C,South_Hub,Standard_Sea,5,4,855.0,3,medium,M,42,3145,1
BF1889006D18,East_Hub,Ground_Freight,4,3,675.0,3,low,M,7,5718,0
55F247E9A0DD,Central_Port,Standard_Sea,3,1,765.0,3,medium,M,4,4619,1
5627B4A8F9EF,South_Hub,Standard_Sea,5,3,712.5,3,high,M,45,2628,1
F37FEA625FAE,Central_Port,Ground_Freight,6,1,1038.75,5,low,F,2,1190,1
0A4E3E70597A,Central_Port,Standard_Sea,3,4,1008.75,3,medium,M,9,5133,1
D1B0B7687F7B,North_Hub,Premium_Air,4,4,945.0,3,medium,F,7,2477,1
8C00431D1986,South_Hub,Standard_Sea,4,1,877.5,3,low,M,2,4282,0
989054BDE5EF,Central_Port,Standard_Sea,5,1,712.5,2,low,M,9,5226,0
C6CA46CB6D9C,North_Hub,Ground_Freight,5,2,1020.0,5,low,M,8,1317,0
40771A76E874,Central_Port,Standard_Sea,5,5,847.5,3,low,M,50,2348,1
8FBD1BE8DB88,West_Hub,Premium_Air,5,3,566.25,2,low,M,8,4749,0
A5A2B61E6D38,East_Hub,Standard_Sea,4,5,720.0,3,medium,F,41,3873,1
29D41FAE5F59,East_Hub,Standard_Sea,3,2,663.75,3,low,F,5,5941,0
4D5F60D62B85,West_Hub,Premium_Air,3,3,667.5,3,high,M,12,1900,1
220E82423D16,East_Hub,Standard_Sea,7,4,1143.75,4,medium,F,6,1873,0
E3687E2A32B9,East_Hub,Standard_Sea,4,1,603.75,6,low,F,2,5734,0
AF1E1EB19B43,East_Hub,Standard_Sea,5,1,956.25,5,medium,M,9,1156,1
205E7B780DE0,South_Hub,Standard_Sea,5,2,817.5,3,low,M,4,5363,1
FED88B40ABA6,South_Hub,Standard_Sea,5,1,768.75,2,medium,M,27,3569,1
2D13AB427FFD,South_Hub,Standard_Sea,5,1,885.0,5,medium,F,3,1699,0
2A2005A19DD5,South_Hub,Standard_Sea,4,3,817.5,2,medium,M,6,4414,1
7421FF69B2A0,South_Hub,Ground_Freight,5,5,690.0,3,low,F,2,5800,0
8B80F49EC282,Central_Port,Standard_Sea,3,3,607.5,3,medium,M,7,1901,1
59712C920A3C,Central_Port,Standard_Sea,5,3,990.0,2,low,F,61,2025,1
D0C9E369BEE2,Central_Port,Standard_Sea,4,5,585.0,3,low,F,33,1836,1
083DEEA4F628,East_Hub,Standard_Sea,5,5,990.0,3,medium,F,23,2837,1
C2F5F8B5C3FD,East_Hub,Standard_Sea,6,3,1042.5,4,high,F,3,1033,0
02F3AAFFD8D5,Central_Port,Ground_Freight,6,5,926.25,4,medium,M,7,1461,1
9A47F769D7BF,North_Hub,Standard_Sea,3,4,648.75,3,low,F,8,5979,0
0712B81E6BB4,South_Hub,Standard_Sea,4,1,1125.0,5,medium,M,6,1027,0
79D6EAA26761,Central_Port,Standard_Sea,3,1,776.25,3,medium,F,56,3482,1
F24E819D0999,Central_Port,Standard_Sea,3,4,543.75,4,high,M,4,5801,0
2BDE19BFD8F8,Central_Port,Standard_Sea,4,2,720.0,4,medium,F,2,5503,0
E42FF69D9B81,South_Hub,Standard_Sea,5,4,836.25,5,low,F,2,1713,0
EB982D2B777A,East_Hub,Premium_Air,3,2,851.25,3,high,M,5,4167,1
E5AC171853C6,South_Hub,Premium_Air,4,2,720.0,3,medium,F,3,4922,0
808C9CFEBD38,South_Hub,Standard_Sea,3,1,892.5,2,medium,F,50,3438,1
515429533E45,West_Hub,Standard_Sea,5,1,903.75,3,high,M,8,5306,1
CE741A4B1DCC,Central_Port,Standard_Sea,6,5,956.25,4,low,F,9,1197,0
78332745628E,Central_Port,Standard_Sea,4,4,607.5,3,medium,M,41,1104,1
9DC38A3AE440,North_Hub,Standard_Sea,4,3,720.0,4,low,F,2,1830,0
B2382DE3CDAA,Central_Port,Standard_Sea,3,3,873.75,3,medium,M,35,2204,1
76BF14AF3F53,Central_Port,Premium_Air,6,1,1020.0,4,low,F,2,1018,0
2876370EC5A4,Central_Port,Ground_Freight,4,1,847.5,5,low,M,9,1530,0
A3C171BC7313,West_Hub,Premium_Air,4,1,543.75,3,low,M,8,5127,0
A4758CE256B5,Central_Port,Standard_Sea,6,4,1140.0,4,low,F,2,1749,0
72ABACB09477,West_Hub,Premium_Air,4,4,667.5,6,low,F,9,5279,1
41ADEFA80327,West_Hub,Standard_Sea,3,5,772.5,2,low,F,4,4080,0
74E06E9FBF9E,Central_Port,Standard_Sea,2,2,772.5,5,low,F,7,5203,0
2FC184DD8E7D,East_Hub,Standard_Sea,3,1,697.5,2,low,F,1,5054,1
D11460F42970,North_Hub,Standard_Sea,2,4,918.75,2,medium,F,10,5389,0
218F10D8E0FD,North_Hub,Standard_Sea,4,2,746.25,3,low,M,7,5342,0
9673542116D6,South_Hub,Ground_Freight,3,5,521.25,2,medium,M,7,5536,0
2A7FB2E61FE5,West_Hub,Ground_Freight,5,5,690.0,2,medium,M,9,4649,1
7C7FEAD4C711,Central_Port,Premium_Air,4,4,656.25,3,low,F,6,4600,1
6DEBFC7D20FE,West_Hub,Standard_Sea,3,4,708.75,3,medium,F,37,3492,1
1DE4842B42FA,Central_Port,Standard_Sea,4,5,712.5,2,low,M,36,3548,1
023E33504AB9,North_Hub,Standard_Sea,5,4,772.5,4,low,F,3,3755,1
781CC9C31365,West_Hub,Standard_Sea,6,5,1117.5,4,low,M,3,1009,1
7987E36C43F0,West_Hub,Standard_Sea,5,5,716.25,2,high,M,34,2708,1
D2388821E8B1,Central_Port,Ground_Freight,5,4,731.25,2,low,M,4,3108,1
4D31F39D152F,Central_Port,Standard_Sea,6,3,926.25,4,medium,M,7,1626,1
8A1A476BF28E,North_Hub,Premium_Air,5,1,1016.25,5,low,M,4,1353,0
714E65EA2496,Central_Port,Standard_Sea,3,5,618.75,3,medium,M,33,1500,1
891D72848822,East_Hub,Standard_Sea,3,1,783.75,2,low,F,2,4855,0
31EB7C0492D4,South_Hub,Premium_Air,3,4,671.25,2,medium,M,5,1340,0
94B5F1A3AB64,East_Hub,Standard_Sea,5,1,885.0,3,medium,F,10,1347,1
4DEA5C7CB70F,South_Hub,Standard_Sea,3,4,877.5,2,medium,M,52,3543,1
F0CA4B323465,Central_Port,Ground_Freight,5,4,986.25,2,medium,F,5,4595,0
F14196515232,Central_Port,Standard_Sea,4,1,615.0,4,medium,M,3,5318,1
B4587DEF7726,South_Hub,Standard_Sea,3,3,933.75,5,medium,F,9,1752,0
9966121111D0,North_Hub,Ground_Freight,2,2,611.25,3,low,M,5,5887,0
E38AB7D3075C,Central_Port,Standard_Sea,3,5,903.75,10,medium,M,41,3015,1
7602FFF35469,North_Hub,Standard_Sea,4,3,930.0,6,medium,M,5,4212,0
D206553AAB2D,West_Hub,Standard_Sea,5,1,693.75,3,medium,F,7,4855,1
5E9ABE7A56ED,North_Hub,Standard_Sea,6,2,731.25,3,medium,M,30,3462,1
1EF3F6149E99,South_Hub,Standard_Sea,3,4,787.5,3,low,M,10,4398,1
4948F8D8F3AA,South_Hub,Ground_Freight,4,2,941.25,6,low,F,3,1297,0
4ED8BE64CA1B,Central_Port,Standard_Sea,5,4,753.75,3,low,F,5,5137,0
8322608869C4,Central_Port,Premium_Air,5,2,945.0,5,low,F,10,1568,0
559607EFFD36,Central_Port,Standard_Sea,6,1,1147.5,4,low,F,4,1449,1
5F0E92362198,Central_Port,Ground_Freight,5,2,997.5,5,medium,M,8,1367,0
46529058FD79,South_Hub,Standard_Sea,2,4,892.5,3,medium,M,4,5782,1
3F14A60B7590,Central_Port,Standard_Sea,5,1,795.0,3,low,F,11,2073,1
8DD302D48949,West_Hub,Standard_Sea,6,1,1136.25,4,low,F,9,1080,0
7E07AE1A0CD3,North_Hub,Standard_Sea,3,2,802.5,2,low,M,26,3503,1
FD98AA9D9CC3,West_Hub,Standard_Sea,3,5,712.5,10,medium,M,26,3244,1
989E93D58AB9,Central_Port,Standard_Sea,4,1,1016.25,2,low,F,1,4866,0
F346692204A7,East_Hub,Premium_Air,5,5,641.25,3,medium,F,6,4209,1
CDE2E7E0392F,South_Hub,Standard_Sea,3,3,900.0,7,medium,M,3,4385,0
A007A0F2C0D2,Central_Port,Standard_Sea,5,5,836.25,3,medium,F,3,4382,0
FD77AE3ED92C,West_Hub,Ground_Freight,5,2,885.0,2,low,M,24,3679,1
EC00AFFB8528,West_Hub,Standard_Sea,4,5,506.25,2,low,M,60,1026,1
1299C06D5178,Central_Port,Standard_Sea,3,5,1031.25,3,low,M,6,5148,0
F74385CEF4CF,South_Hub,Standard_Sea,3,1,491.25,4,low,M,1,1628,0
ECAC903EA62D,South_Hub,Standard_Sea,5,3,862.5,3,medium,F,3,2923,1
17E34F6C3287,Central_Port,Ground_Freight,3,3,971.25,2,high,M,8,4481,0
DF34D853F2F2,Central_Port,Ground_Freight,5,2,757.5,3,medium,M,34,3885,1
BF0A60EE19AD,West_Hub,Standard_Sea,6,4,903.75,6,high,F,61,2806,1
8A835B9BF9C1,West_Hub,Standard_Sea,2,2,900.0,5,low,M,7,4138,1
F5CA38F748A1,Central_Port,Standard_Sea,4,5,543.75,3,medium,M,45,1059,1
238CF2329EA0,North_Hub,Standard_Sea,4,2,866.25,5,low,F,2,1465,1
4C61425FECFE,West_Hub,Standard_Sea,3,5,1072.5,6,high,M,8,4777,0
80AA9E4F3014,West_Hub,Standard_Sea,4,2,851.25,5,medium,M,6,4618,0
213CAF5CF556,South_Hub,Standard_Sea,3,1,862.5,2,low,F,1,4970,1
529F37482797,South_Hub,Standard_Sea,6,4,952.5,4,low,M,9,1594,0
65BBA5FB79D7,South_Hub,Ground_Freight,5,5,993.75,3,high,F,3,5837,1
B3396BCB5967,East_Hub,Ground_Freight,5,1,393.75,5,low,M,1,1101,1
71AFD924779C,Central_Port,Standard_Sea,4,2,787.5,2,medium,F,1,5437,1
9199D9E5B275,West_Hub,Standard_Sea,3,2,753.75,3,high,M,6,5165,1
8F1D857513C6,North_Hub,Standard_Sea,3,4,701.25,2,medium,M,4,5139,1
E001DAD6F306,North_Hub,Standard_Sea,3,3,671.25,3,medium,F,41,1892,1
6BFC25CC7DF5,Central_Port,Standard_Sea,6,4,963.75,4,low,F,4,1451,0
1038E0B72D98,Central_Port,Standard_Sea,3,1,720.0,2,low,M,33,2818,1
123A999FEADA,Central_Port,Standard_Sea,4,4,772.5,3,medium,F,10,4262,0
F1607C19A0F9,South_Hub,Standard_Sea,3,5,963.75,3,medium,F,19,2173,1
69BE0182F4D8,North_Hub,Standard_Sea,3,3,1027.5,3,low,M,6,2986,1
0D9A5484F79E,Central_Port,Premium_Air,3,5,468.75,2,low,F,2,4182,1
1F3B8E699416,North_Hub,Standard_Sea,4,2,941.25,3,low,F,10,3517,1
067EB10BDA23,East_Hub,Standard_Sea,6,5,990.0,4,medium,F,9,1922,1
1FF006FC1FF9,South_Hub,Standard_Sea,4,1,810.0,4,low,M,4,2263,1
3769A1B69016,North_Hub,Standard_Sea,4,3,667.5,3,medium,M,6,4576,0
5366EC7DF493,North_Hub,Standard_Sea,3,5,596.25,2,medium,M,6,5804,0
B55184DEC351,North_Hub,Standard_Sea,4,4,483.75,6,medium,F,7,4873,1
FF49A4F6ED54,South_Hub,Premium_Air,3,2,573.75,10,high,M,2,5455,0
103006A34E0C,Central_Port,Standard_Sea,6,3,960.0,4,low,F,9,1212,1
2C7FAF8D14FD,Central_Port,Standard_Sea,4,5,746.25,2,low,F,8,4463,0
63D5537F6935,Central_Port,Standard_Sea,4,5,832.5,2,medium,M,2,4425,0
5E798568D56B,Central_Port,Ground_Freight,6,4,1095.0,4,low,M,3,1826,1
A89D6642C31C,North_Hub,Standard_Sea,3,5,1016.25,4,low,F,10,1679,1
D413A4731E32,East_Hub,Standard_Sea,6,3,528.75,3,low,M,7,5222,1
B8DAB8A0987F,East_Hub,Standard_Sea,3,5,678.75,4,high,F,1,4971,1
04E97796AC4D,East_Hub,Ground_Freight,6,2,502.5,8,high,M,42,1054,1
DAC0BAB9C931,South_Hub,Standard_Sea,4,1,873.75,2,medium,F,60,2671,1
BB9D66043F7C,East_Hub,Standard_Sea,4,2,787.5,3,low,M,8,5672,1
3A1631822327,Central_Port,Standard_Sea,5,4,960.0,5,low,M,2,1723,1
BB8D629A5007,South_Hub,Standard_Sea,6,5,1050.0,3,low,M,9,4074,1
54D3FD385463,Central_Port,Premium_Air,7,4,1012.5,4,medium,F,5,1735,0
3900E2A1012F,West_Hub,Standard_Sea,4,3,840.0,3,medium,F,9,5283,1
DDA67706BCBB,South_Hub,Ground_Freight,4,2,630.0,3,low,M,59,1717,1
3BAD45F2CC9F,Central_Port,Standard_Sea,3,2,873.75,5,low,M,44,2010,1
0228374D12EE,Central_Port,Standard_Sea,5,5,948.75,2,medium,F,2,4364,0
BE6ADC2DBD63,Central_Port,Standard_Sea,5,5,810.0,4,medium,F,1,4092,1
CE2C4DDE1A85,Central_Port,Standard_Sea,5,5,930.0,5,medium,F,1,1945,1
CF3FF1A00FA1,South_Hub,Premium_Air,4,3,967.5,3,medium,M,58,2579,1
BB6723F86F9A,East_Hub,Standard_Sea,3,4,723.75,6,low,M,2,5584,0
3EA291DC1BE5,Central_Port,Premium_Air,7,3,1147.5,4,medium,M,4,1739,1
EE0D6C299A70,North_Hub,Standard_Sea,3,5,933.75,2,low,F,26,2029,1
0E652B392BBD,West_Hub,Standard_Sea,7,2,1046.25,4,medium,M,5,1210,0
E28CCAA8E211,South_Hub,Standard_Sea,5,3,611.25,6,low,M,6,4349,0
7E5502429BC8,North_Hub,Ground_Freight,3,1,753.75,2,medium,F,4,4857,1
40375CF9B5F1,North_Hub,Ground_Freight,5,5,896.25,6,low,F,1,1984,0
90335898D4E1,Central_Port,Ground_Freight,3,3,948.75,3,medium,M,7,5085,0
E1C77B2D106C,South_Hub,Standard_Sea,5,4,896.25,3,low,F,7,4960,0
35FCDEE9B923,East_Hub,Standard_Sea,3,1,532.5,4,low,M,4,1583,1
B8300B053E43,East_Hub,Standard_Sea,4,4,892.5,3,low,F,7,4709,0
E071170E549F,North_Hub,Standard_Sea,5,2,922.5,5,low,F,4,1072,1
D088C0DC1CD5,East_Hub,Standard_Sea,5,4,881.25,4,low,M,10,4880,0
B978553DB8FA,South_Hub,Standard_Sea,6,4,1158.75,4,low,M,9,1771,1
957E984230C0,North_Hub,Standard_Sea,4,5,588.75,2,medium,M,6,5937,0
B03FE167CB59,Central_Port,Standard_Sea,3,2,596.25,2,medium,F,3,4876,0
3E8B99272731,Central_Port,Standard_Sea,3,5,633.75,3,low,F,6,5397,0
184EB9D5F7FD,East_Hub,Standard_Sea,3,4,690.0,3,low,M,7,5438,0
281B13E30538,Central_Port,Standard_Sea,4,2,840.0,3,low,F,9,4896,0
8C2D775DFC75,North_Hub,Premium_Air,5,2,930.0,2,low,F,10,4813,0
3958DE59A1AE,East_Hub,Standard_Sea,3,2,787.5,2,medium,M,30,3928,1
81EF440003F4,North_Hub,Ground_Freight,4,5,675.0,4,high,F,10,5176,1
4123102683E9,North_Hub,Standard_Sea,3,5,967.5,3,low,F,5,4494,0
D2642C5B5A66,South_Hub,Premium_Air,4,5,877.5,3,medium,F,10,4204,1
AEE4848A8580,Central_Port,Standard_Sea,3,4,543.75,3,medium,M,44,1218,1
886B73D4B098,East_Hub,Standard_Sea,3,4,622.5,3,medium,F,8,4369,1
98144D79AF44,Central_Port,Standard_Sea,3,1,588.75,2,medium,F,39,1525,1
84E3BDD4FB8E,East_Hub,Standard_Sea,4,2,975.0,2,low,M,7,5684,0
957B4DE48FD8,West_Hub,Standard_Sea,3,5,431.25,3,medium,M,60,1122,1
56280F252F31,South_Hub,Premium_Air,4,4,836.25,5,medium,M,4,1344,0
6A5CBA8B787B,Central_Port,Standard_Sea,5,5,941.25,2,high,F,3,4741,1
E133553EA138,West_Hub,Ground_Freight,4,4,881.25,4,low,M,50,2020,1
9F8F6A6903C6,Central_Port,Premium_Air,6,4,1095.0,4,low,F,10,1321,1
2D6C50388F53,West_Hub,Standard_Sea,4,2,528.75,2,low,F,8,1495,1
B902936750D5,Central_Port,Standard_Sea,5,2,982.5,5,low,M,4,1509,1
9E0BC0A9AA37,Central_Port,Standard_Sea,2,2,900.0,3,low,M,53,2980,1
1E3158B9CF89,East_Hub,Premium_Air,6,3,1147.5,4,low,F,5,1490,1
FFB56B8D39FA,West_Hub,Standard_Sea,5,4,963.75,2,medium,M,10,5095,0
36ED0CB851BC,East_Hub,Standard_Sea,4,4,877.5,2,medium,F,8,5744,0
6DF19F8EB4D4,Central_Port,Premium_Air,4,2,1012.5,3,medium,F,4,5566,0
5386BE01384D,West_Hub,Ground_Freight,5,4,708.75,2,low,F,4,5575,1
481D60BC802F,East_Hub,Premium_Air,2,1,585.0,3,medium,M,3,5937,0
B1B716DA14A1,West_Hub,Standard_Sea,5,3,427.5,6,medium,F,60,1746,1
B312D5FBCFAB,South_Hub,Standard_Sea,4,4,783.75,8,medium,F,46,3345,1
E9B585A0010B,West_Hub,Ground_Freight,2,2,596.25,6,low,F,6,4044,0
53EB7F9DCAA2,Central_Port,Premium_Air,4,2,675.0,4,medium,M,9,4329,0
E2AAB8E08A6B,East_Hub,Standard_Sea,4,2,907.5,3,medium,M,8,4644,1
B0B03D744A85,Central_Port,Ground_Freight,4,5,843.75,4,low,M,48,2767,1
4B177CF57484,Central_Port,Standard_Sea,6,4,1140.0,4,low,M,6,1342,0
BE4F4B1608D6,Central_Port,Standard_Sea,4,2,787.5,3,low,F,9,4102,1
5D4F6EE8C699,North_Hub,Standard_Sea,4,5,945.0,2,low,F,9,4157,0
5E534A835454,North_Hub,Standard_Sea,4,3,967.5,2,low,F,3,4555,0
A07CF27590E5,East_Hub,Standard_Sea,4,5,618.75,3,high,M,5,4735,0
07492B151560,South_Hub,Ground_Freight,7,1,1110.0,4,low,F,10,1230,1
CB2CF4BF26A8,North_Hub,Standard_Sea,5,1,633.75,4,low,M,6,4253,1
297FFBE239F4,Central_Port,Premium_Air,2,1,847.5,2,medium,F,1,5576,0
931D2D388609,South_Hub,Ground_Freight,4,3,596.25,2,high,M,3,5731,1
A6E0F1A76758,West_Hub,Standard_Sea,5,1,930.0,3,medium,M,6,5081,1
FF3637D30B19,South_Hub,Ground_Freight,4,4,780.0,2,high,F,20,2759,1
AC93F3A0FEE5,Central_Port,Standard_Sea,3,2,525.0,2,low,F,16,1685,1
85E88D473301,Central_Port,Standard_Sea,3,2,840.0,3,low,F,7,5896,0
88B54564B232,Central_Port,Standard_Sea,4,2,697.5,7,medium,F,40,3111,1
B1247FD1E7E6,North_Hub,Standard_Sea,3,3,840.0,4,medium,M,10,4147,0
284B7E6D788F,Central_Port,Standard_Sea,4,1,525.0,3,medium,F,1,1464,1
8A159F78A497,North_Hub,Premium_Air,4,2,888.75,6,low,F,8,5695,0
1A5DE96B8308,West_Hub,Standard_Sea,4,1,990.0,3,low,F,39,3719,1
FA9B1CC5D156,Central_Port,Standard_Sea,3,1,1031.25,2,high,F,1,2597,1
6953C2A88353,East_Hub,Ground_Freight,3,5,705.0,3,high,F,9,3206,1
5524FE000FFD,North_Hub,Standard_Sea,6,4,1020.0,4,low,F,7,1706,1
707F6B27B356,Central_Port,Premium_Air,4,2,521.25,4,low,F,41,1511,1
313C938E0103,Central_Port,Ground_Freight,4,1,682.5,3,medium,M,28,2005,1
182F419060F1,South_Hub,Standard_Sea,3,3,933.75,4,low,M,7,5868,1
F46DF9A8F5E1,South_Hub,Premium_Air,3,2,525.0,3,medium,M,8,5724,0
CFB05FFF77B9,Central_Port,Ground_Freight,4,5,922.5,2,medium,M,31,2415,1
636BC6DD6D68,East_Hub,Premium_Air,4,5,588.75,3,medium,M,10,5898,1
7CA01A22D3F9,North_Hub,Premium_Air,4,1,562.5,3,low,F,10,4470,0
2CD040C082AB,Central_Port,Premium_Air,4,5,648.75,2,medium,F,5,4776,1
6D26054EFB4F,South_Hub,Standard_Sea,6,1,937.5,5,low,F,53,3352,1
1954A6A95ACA,North_Hub,Ground_Freight,2,4,1023.75,4,low,F,7,4743,1
2ECEFE59AB6A,East_Hub,Ground_Freight,5,5,480.0,5,low,M,34,1008,1
1070A982AF22,Central_Port,Premium_Air,4,2,682.5,3,medium,M,14,3413,1
CBFBF617A0D1,West_Hub,Premium_Air,6,2,1005.0,4,low,M,7,1943,0
3DF3CFBA7454,East_Hub,Premium_Air,3,4,562.5,2,low,F,6,5987,0
2747B7C71856,Central_Port,Ground_Freight,3,3,551.25,4,low,F,60,1722,1
555850E8F7F1,Central_Port,Standard_Sea,3,3,1012.5,3,high,F,7,4690,1
C5563DA47332,North_Hub,Premium_Air,4,2,933.75,6,low,F,9,1673,1
2B1AA576BD0C,East_Hub,Premium_Air,6,1,806.25,4,low,M,1,4581,1
670671CD9740,North_Hub,Standard_Sea,4,1,645.0,3,high,F,24,1066,1
882555FB1B4A,West_Hub,Standard_Sea,4,4,690.0,3,low,M,4,1330,1
33C62A2A336A,East_Hub,Ground_Freight,4,1,731.25,3,low,M,2,4418,0
A0F8B2C4CB1A,Central_Port,Standard_Sea,3,1,757.5,2,medium,M,62,3398,1
F58210F7B027,Central_Port,Standard_Sea,5,2,510.0,2,low,M,3,1370,0
EE262F069345,South_Hub,Standard_Sea,3,5,903.75,4,low,F,3,5051,0
821E1F53F1C2,West_Hub,Standard_Sea,3,1,1016.25,3,medium,M,1,5486,1
DE70E19E8FEC,West_Hub,Standard_Sea,4,2,873.75,4,high,F,6,5256,0
33EB7E4AE43F,Central_Port,Premium_Air,3,5,817.5,4,medium,M,60,3048,1
E97E2FFEFD96,Central_Port,Standard_Sea,3,5,513.75,3,high,F,28,1815,1
52018340D525,East_Hub,Standard_Sea,4,2,911.25,3,medium,F,13,2850,1
9AEF5EA10C09,Central_Port,Standard_Sea,5,3,1031.25,5,low,M,7,1349,0
0A07712D055F,Central_Port,Standard_Sea,5,1,645.0,2,high,F,7,5165,0
54E8C1FE7150,South_Hub,Premium_Air,3,3,806.25,2,low,F,2,5661,0
7790318535A0,South_Hub,Premium_Air,4,2,832.5,2,medium,M,5,4268,0
0BBF9F8F0BA1,East_Hub,Standard_Sea,4,1,967.5,4,low,M,5,5664,0
00629D85F855,East_Hub,Ground_Freight,3,4,705.0,4,low,M,2,1059,1
77C929F89B86,North_Hub,Standard_Sea,3,5,810.0,4,low,F,3,4934,0
FB14971DEACD,East_Hub,Premium_Air,6,4,982.5,4,low,F,10,1068,1
CA953234A8B1,West_Hub,Standard_Sea,3,5,825.0,3,low,F,9,5672,1
6E348EB06763,West_Hub,Ground_Freight,4,2,828.75,3,low,F,7,4856,0
664D83F2B832,South_Hub,Ground_Freight,3,2,810.0,2,low,F,1,4350,1
44D39C6E5E7B,Central_Port,Premium_Air,5,2,480.0,5,medium,F,45,1707,1
